Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
,,,2022-05-08,,,,5000+,Private,220000.0,0,,San francisco,,,40000,Pharmaceutical (including “big pharma”),Senior clinical scientist,11,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,1000-5000,Public,108000.0,0,,MVA,,,15000,Pharmaceutical (including “big pharma”),Scientist I,2,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Public,95000.0,5000,,Bay area,,,6500,Pharmaceutical (including “big pharma”),Research scientist,2,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Sanofi,,,2022-05-08,,,,5000+,Public,75000.0,0,,France,,,7500,Pharmaceutical (including “big pharma”),Principal scientist,7,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,200-1000,Public,190000.0,0,,Los Angeles,,,38000,Pharmaceutical (including “big pharma”),Principal Engineer,8,Bachelors or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
,,,2022-05-08,,,,1-50,Start-up,75000.0,0,,Bay Area,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate ,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Gilead,,,2022-05-08,,,,5000+,Public,100000.0,5000,,Bay area,,,7500,Pharmaceutical (including “big pharma”),SRA 1,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,50-200,Private,88000.0,0,,Switzerland,,,7000,Research devices,Scientific Affairs Scientist,3,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Janssen,,,2022-05-08,,,,5000+,Public,142000.0,0,,Philadelphia,,,15%,Pharmaceutical (including “big pharma”),Sr. Scientist ,6,PhD or Equivalent,"","","","","","","","","","","",2022,Philadelphia,65,2195.0
,,,2022-05-08,,,,50-200,Public,101000.0,0,,Boston,,,12000,Pharmaceutical (including “big pharma”),Scientist 1,1,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Arbor Biotechnologies ,,,2022-05-08,,,,50-200,Start-up,82000.0,0,,Boston,,,6150,Academia/Research,Senior Research Associate ,4,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,5000+,Public,88000.0,0,,Baltimore/Washington DC,,,3500,Pharmaceutical (including “big pharma”),Scientist 1,0,PhD or Equivalent,"","","","","","","","","","","",2022,Baltimore/D.C./Maryland,22,2442.5
,,,2022-05-08,,,,50-200,Public,120000.0,5000,,San Diego,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist I,4,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-08,,,,1-50,Start-up,124000.0,10000,,Boston,,,6000,Pharmaceutical (including “big pharma”),Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,5000+,Public,83567.0,5000,,New York metropolitan area,,,6267,Pharmaceutical (including “big pharma”),Scientist II,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
,,,2022-05-08,,,,1000-5000,Academia/College/Universities,35000.0,0,,"Brighton, UK",,,Not Applicable/None,Academia/Research,Research Associate,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Private,105000.0,0,,Boston,,,15000,Pharmaceutical (including “big pharma”),Principal Research Associate II,9,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,50-200,Private,82000.0,7000,,Boston,,,10%,Pharmaceutical (including “big pharma”),Research Associate  2,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Amgen,,,2022-05-08,,,,5000+,Public,85000.0,0,,Thousand Oaks (Los Angeles),,,~5-10k (performance based),Pharmaceutical (including “big pharma”),Sr. Associate Manufacturing,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,200-1000,Private,41200.0,0,,Ireland,,,Not Applicable/None,Pharmaceutical (including “big pharma”),QA Analyst,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Public,142000.0,0,,New York City,,,15%,Pharmaceutical (including “big pharma”),Senior scientist,4,Masters or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
AbbVie,,,2022-05-08,,,,5000+,Public,114000.0,20000,,"Chicago, IL",,,8%,Pharmaceutical (including “big pharma”),Senior Scientist I,2,PhD or Equivalent,"","","","","","","","","","","",2022,Chicago,20,2484.5
,,,2022-05-08,,,,1-50,Private,72000.0,0,,"Portland, OR",,,Not Applicable/None,Medical Devices,Research associate II,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Portland,7,2545.0
,,,2022-05-08,,,,50-200,Private,122000.0,10000,,Boston,,,10%,Pharmaceutical (including “big pharma”),Scientist I,4,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Eli Lilly,,,2022-05-08,,,,5000+,Public,66000.0,0,,"Indianapolis, IN",,,6k plus or minus some. Up to 14k,Pharmaceutical (including “big pharma”),Scientist,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Start-up,200000.0,0,,"RTP, NC",,,50000,Pharmaceutical (including “big pharma”),Director,18,Bachelors or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
,,,2022-05-08,,,,200-1000,Public,55000.0,0,,Boston,,,Not Applicable/None,Medical Devices,Production Associate 1,1,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Biogen,,,2022-05-08,,,,5000+,Public,148000.0,15000,,Boston,,,25900,Pharmaceutical (including “big pharma”),Sr Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,1000-5000,Public,102000.0,5000,,Canada,,,10200,Animal Health,Supervisor ,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Abbvie,,,2022-05-08,,,,5000+,Public,89000.0,0,,Boston,,,8%,Pharmaceutical (including “big pharma”),Scientist I,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,50-200,Private,140000.0,20000,,"Cambridge, MA",,,16%,Pharmaceutical (including “big pharma”),Senior Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,5000+,Public,50000.0,0,,Kansas City,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Associate Scientist,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
NanoString Technologies Inc.,,,2022-05-08,,,,200-1000,Public,62500.0,0,,Seattle,,,3125,Analytical Devices,Research Associate II,3,Masters or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
"Commissioning Agents, Inc",,,2022-05-08,,,,1000-5000,Private,81120.0,0,,Orange County,,,Not Applicable/None,Pharmaceutical (including “big pharma”),CQV Engineer,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,200-1000,Public,72000.0,0,,Boston,,,7200,Pharmaceutical (including “big pharma”),Research Associate I,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,200-1000,Public,88400.0,0,,Phoenix,,,8000,Medical Devices,Field Applications Scientist,11,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Public,170000.0,10000,,bay area,,,25000,Pharmaceutical (including “big pharma”),principal scientist,8,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,50-200,Private,148000.0,5000,,bay area,,,25000,Pharmaceutical (including “big pharma”),senior scientist 1,8,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Just-Evotec Biologics,,,2022-05-08,,,,200-1000,Subsidiary,70000.0,0,,Seattle,,,3500,Pharmaceutical (including “big pharma”),Associate Scientist,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-08,,,,5000+,Academia/College/Universities,30000.0,0,,Pittsburgh,,,Not Applicable/None,Academia/Research,PhD Student,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,Pittsburgh,3,2583.5
,,,2022-05-08,,,,50-200,Public,109000.0,0,,Boston,,,16500,Pharmaceutical (including “big pharma”),Senior associate scientist ,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,200-1000,Public,135000.0,7500,,Bay Area,,,13500,Pharmaceutical (including “big pharma”),Sr. Scientist I,3,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,200-1000,Public,76650.0,0,,"Newark, CA",,,7665,Pharmaceutical (including “big pharma”),Research Associate I - Protein Purification,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
ORNL,,,2022-05-08,,,,5000+,Government,70000.0,0,,"Knoxville, TN",,,Not Applicable/None,Academia/Research,Postdoc,1,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,1-50,Start-up,25500.0,0,,"Cambridge, UK",,,2550,Pharmaceutical (including “big pharma”),Research Technican,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Private,185000.0,0,,SF Bay Area,,,37000,Pharmaceutical (including “big pharma”),Senior Scientist,7,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,200-1000,Public,135000.0,0,,"Hayward, CA",,,13500,Pharmaceutical (including “big pharma”),Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Subsidiary,100000.0,0,,Seattle,,,6000,Pharmaceutical (including “big pharma”),Scientist,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-08,,,,200-1000,Public,118000.0,5000,,Bay Area,,,11800,Pharmaceutical (including “big pharma”),Principal Research Associate,6,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,5000+,Public,95000.0,0,,Triangle,,,9500,Pharmaceutical (including “big pharma”),Sr. Validation Engineer,10,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,1000-5000,Public,175000.0,0,,Bay Area,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Sr. Manager,20,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,1000-5000,Public,130000.0,10000,,Boston,,,13000,Pharmaceutical (including “big pharma”),MFG Supervisor,6,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,1000-5000,Private,62000.0,0,,Seattle,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Specialist I,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
Abbvie,,,2022-05-08,,,,5000+,Public,70720.0,0,,"Waco, TX",,,3%,Pharmaceutical (including “big pharma”),Laboratory Technician V,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,1-50,Start-up,96000.0,0,,Bay Area,,,Not Applicable/None,Academia/Research,Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,1000-5000,Public,77000.0,0,,New Haven,,,7%,Pharmaceutical (including “big pharma”),Associate Scientist II,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Public,88000.0,0,,San Diego,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate II,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-08,,,,200-1000,Public,135000.0,0,,Boston,,,15,Pharmaceutical (including “big pharma”),Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,200-1000,Academia/College/Universities,27000.0,0,,Belgium,,,Not Applicable/None,Academia/Research,PhD student,0,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Public,69300.0,0,,Chicago IL,,,7000,Lab consumables,Scientist I,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,Chicago,20,2484.5
,,,2022-05-08,,,,1-50,Start-up,80000.0,5000,,San Francisco,,,7%,Pharmaceutical (including “big pharma”),Research Associate,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,5000+,Public,70720.0,0,,Los Angeles,,,5000,Pharmaceutical (including “big pharma”),QC Analyst 2,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
,,,2022-05-08,,,,200-1000,Government,40000.0,0,,"San Antonio, texas",,,Not Applicable/None,Animal research (government),Research associate,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Public,98500.0,0,,Chicagoland,,,7000,Pharmaceutical (including “big pharma”),QC Supervisor,12,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Private,49920.0,0,,RTP,,,Not Applicable/None,Medical testing ,Associate Chemist ,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
,,,2022-05-08,,,,5000+,Private,70000.0,0,,Research Triangle Park,,,Not Applicable/None,Medical testing ,Research Associate II,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
A,,,2022-05-08,,,,5000+,Public,72300.0,0,,Santa Barbara,,,10,Pharmaceutical (including “big pharma”),QC Analyst I,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Public,108000.0,5000,,St. Louis,,,7020,Pharmaceutical (including “big pharma”),Senior scientist ,1,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Roche,,,2022-05-08,,,,5000+,Public,95000.0,0,,Seattle,,,5000,Pharmaceutical (including “big pharma”),Senior Research Associate ,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-08,,,,1-50,Private,106200.0,3000,,Boston,,,10620,Medical Devices,Applications Engineer,2,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,1-50,Private,95000.0,2500,,Maryland,,,10%,Pharmaceutical (including “big pharma”),Scientist I,1,PhD or Equivalent,"","","","","","","","","","","",2022,Maryland,6,2558.5
,,,2022-05-08,,,,1000-5000,Academia/College/Universities,56182.0,0,,Philadelphia,,,Not Applicable/None,Academia/Research,Research Associate III,15,Masters or Equivalent,"","","","","","","","","","","",2022,Philadelphia,65,2195.0
,,,2022-05-08,,,,5000+,Public,127000.0,0,,Boston,,,15%,Pharmaceutical (including “big pharma”),Senior Scientist ,3,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,50-200,Private,144000.0,0,,Boston,,,20%,Pharmaceutical (including “big pharma”),Senior Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-08,,,,1-50,Start-up,82350.0,3000,,New York,,,8235,Pharmaceutical (including “big pharma”),Associate Project Manager,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
,,,2022-05-08,,,,5000+,Public,140000.0,0,,Pennsylvania,,,25000,Pharmaceutical (including “big pharma”),Senior Manager,8,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
GSK,,,2022-05-08,,,,5000+,Public,148000.0,0,,Washington DC,,,18%,Pharmaceutical (including “big pharma”),Production Associate Director,16,Bachelors or Equivalent,"","","","","","","","","","","",2022,Baltimore/D.C./Maryland,22,2442.5
,,,2022-05-08,,,,5000+,Academia/College/Universities,31200.0,0,,Florida,,,Not Applicable/None,Academia/Research,Lab Tech,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Conagen,,,2022-05-08,,,,50-200,Private,85000.0,0,,Boston,,,1300,"I’m in flavors and fragrances department, but we also have nutraceuticals and biologics at the company. ","Scientist II, Strain Development",2,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Immatics,,,2022-05-08,,,,200-1000,Public,81180.0,0,,"Houston, TX",,,9741,Pharmaceutical (including “big pharma”),Senior Manufacturing Associate ,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Houston,14,2517.5
Startup ,,,2022-05-08,,,,50-200,Public,135000.0,0,,Bay area,,,20000,Pharmaceutical (including “big pharma”),Science II,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-08,,,,200-1000,Public,90000.0,10000,,San Diego,,,20%,Pharmaceutical (including “big pharma”),Senior Research Associates  ,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-08,,,,200-1000,Public,58000.0,0,,San Diego,,,Not Applicable/None,Medical Devices,Biochemist I,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
Thermo Fisher,,,2022-05-08,,,,5000+,Public,75000.0,5000,,Carlsbad,,,5625,Medical Devices,Scientist II,7,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,50-200,Start-up,265000.0,100000,,Midwest,,,60000,Pharmaceutical (including “big pharma”),VP,15,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-08,,,,5000+,Academia/College/Universities,56000.0,0,,"Houston, TX",,,Not Applicable/None,Academia/Research,Staff Scientist,6,PhD or Equivalent,"","","","","","","","","","","",2022,Houston,14,2517.5
UC Davis,,,2022-05-09,,,,5000+,Academia/College/Universities,55000.0,0,,"Sacramento, CA",,,Not Applicable/None,Academia/Research,SRA II (Lab Manager/Research Coordinator),1,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-09,,,,1-50,Start-up,90000.0,0,,Toronto,,,10000,Pharmaceutical (including “big pharma”),Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2022,Toronto,16,2502.5
,,,2022-05-09,,,,50-200,Start-up,93000.0,0,,San Diego,,,9300,Pharmaceutical (including “big pharma”),Senior Research Associate II,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-09,,,,50-200,Private,230000.0,50000,,Los Angeles,,,150000,Pharmaceutical (including “big pharma”),"Vice President, Business Development",11,Masters or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
Novo Nordisk,,,2022-05-09,,,,5000+,Public,31200.0,0,,UK,,,3120,Pharmaceutical (including “big pharma”),Lab Coordinator/tech,3,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Evotec,,,2022-05-09,,,,1000-5000,Public,30000.0,500,,UK,,,1500,Pharmaceutical (including “big pharma”),Research associate ,4,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Catalent,,,2022-05-09,,,,5000+,Public,93000.0,3000,,"Bloomington, IN, USA",,,Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Novartis ,,,2022-05-09,,,,5000+,Public,88000.0,7000,,RTP,,,7000,Pharmaceutical (including “big pharma”),Specialist I,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
,,,2022-05-09,,,,50-200,Subsidiary,70000.0,0,,Bay area,,,7000,Pharmaceutical (including “big pharma”),Research Associate ,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-09,,,,5000+,Private,70000.0,0,,"NY, NY",,,8000,Pharmaceutical (including “big pharma”),Associate Scientist,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
,,,2022-05-09,,,,50-200,Private,40000.0,0,,Netherlands,,,Not Applicable/None,Medical Devices,Molecular Biologist,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-09,,,,1000-5000,Public,192000.0,0,,Boston,,,48000,Pharmaceutical (including “big pharma”),Associate Director,7,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Pfizer,,,2022-05-09,,,,5000+,Public,69000.0,5000,,New York,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Associate Scientist,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
Amgen,,,2022-05-09,,,,5000+,Public,140000.0,25000,,LA,,,16800,Pharmaceutical (including “big pharma”),Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
Eli Lilly and Co,,,2022-05-09,,,,5000+,Public,80800.0,5000,,Central Maine,,,10%,Pharmaceutical (including “big pharma”),Senior TS/MS Scientist - Upstream Processes,3,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-09,,,,50-200,Start-up,113000.0,0,,Boston,,,10,Pharmaceutical (including “big pharma”),Associate Scientist ,11,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-09,,,,50-200,Public,89000.0,7000,,Boston,,,8900,Pharmaceutical (including “big pharma”),Sr. Research Associate,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-09,,,,200-1000,Public,115000.0,0,,Ohio,,,"17,000",Pharmaceutical (including “big pharma”),Scientist II,3,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
